year_month,n_days,mae,bias,underpredict_rate,stage,fold
2021-03,31,1178864.0110733593,-1108360.6811934758,0.8709677419354839,tune,2020-06-30
2021-04,30,1412891.6303231593,-1248680.1190064165,0.7,tune,2020-06-30
2021-05,31,1702582.7502167628,-1684868.6821441066,0.967741935483871,tune,2020-06-30
2021-06,30,1487717.758909116,-1487717.758909116,1.0,tune,2020-06-30
2021-07,31,1474209.8010474117,-1433003.3595329793,0.967741935483871,tune,2020-06-30
2021-08,31,678148.9415841018,-621585.6225052911,0.8709677419354839,tune,2020-06-30
2021-09,30,924529.5006898599,-910482.1080936063,0.9333333333333333,tune,2020-06-30
2021-10,31,709458.2408744103,-695857.6545714752,0.9354838709677419,tune,2020-06-30
2021-11,30,607605.3597622162,-601901.518165099,0.9666666666666667,tune,2020-06-30
2021-12,30,750279.9496346546,-699294.0571635194,0.9333333333333333,tune,2020-06-30
2021-07,31,564067.1456642437,-136507.37763237034,0.5161290322580645,tune,2021-06-30
2021-08,31,1311732.7965880015,1272867.7568290255,0.03225806451612903,tune,2021-06-30
2021-09,30,514484.5841782821,275069.163682712,0.23333333333333334,tune,2021-06-30
2021-10,31,349149.6703939713,35183.63665289971,0.3870967741935484,tune,2021-06-30
2021-11,30,404928.3075506234,-64202.39870457626,0.4666666666666667,tune,2021-06-30
2021-12,31,438470.4105720742,-236814.30294025547,0.7096774193548387,tune,2021-06-30
2022-01,31,521887.49667183374,-464344.91606981965,0.8387096774193549,tune,2021-06-30
2022-02,28,701533.2189409646,-662853.0666354615,0.8214285714285714,tune,2021-06-30
2022-03,31,885739.1152821374,-682919.2651892186,0.7741935483870968,tune,2021-06-30
2022-04,30,653034.296353483,171681.53226427265,0.43333333333333335,tune,2021-06-30
2022-05,31,999092.4905780143,109675.87748509632,0.45161290322580644,tune,2021-06-30
2022-06,30,860288.7031705739,-205641.39470314278,0.5333333333333333,tune,2021-06-30
2022-07,31,525512.6081597434,-27598.956073833157,0.5483870967741935,tune,2021-06-30
2022-08,31,927427.4769690137,-309845.9614081579,0.5161290322580645,tune,2021-06-30
2022-09,30,580721.9927980776,-111980.0103195148,0.5666666666666667,tune,2021-06-30
2022-10,31,434606.97304493457,-195553.71734207383,0.5483870967741935,tune,2021-06-30
2022-11,30,436732.10839317087,-37441.16872515129,0.5,tune,2021-06-30
2022-12,30,350028.5191609415,-278712.3688796551,0.7666666666666667,tune,2021-06-30
2021-07,31,564067.1456642437,-136507.37763237034,0.5161290322580645,holdout,2021-06-30
2021-08,31,1311732.7965880015,1272867.7568290255,0.03225806451612903,holdout,2021-06-30
2021-09,30,514484.5841782821,275069.163682712,0.23333333333333334,holdout,2021-06-30
2021-10,31,349149.6703939713,35183.63665289971,0.3870967741935484,holdout,2021-06-30
2021-11,30,404928.3075506234,-64202.39870457626,0.4666666666666667,holdout,2021-06-30
2021-12,31,438470.4105720742,-236814.30294025547,0.7096774193548387,holdout,2021-06-30
2022-01,31,521887.49667183374,-464344.91606981965,0.8387096774193549,holdout,2021-06-30
2022-02,28,701533.2189409646,-662853.0666354615,0.8214285714285714,holdout,2021-06-30
2022-03,31,885739.1152821374,-682919.2651892186,0.7741935483870968,holdout,2021-06-30
2022-04,30,653034.296353483,171681.53226427265,0.43333333333333335,holdout,2021-06-30
2022-05,31,999092.4905780143,109675.87748509632,0.45161290322580644,holdout,2021-06-30
2022-06,30,860288.7031705739,-205641.39470314278,0.5333333333333333,holdout,2021-06-30
2022-07,31,525512.6081597434,-27598.956073833157,0.5483870967741935,holdout,2021-06-30
2022-08,31,927427.4769690137,-309845.9614081579,0.5161290322580645,holdout,2021-06-30
2022-09,30,580721.9927980776,-111980.0103195148,0.5666666666666667,holdout,2021-06-30
2022-10,31,434606.97304493457,-195553.71734207383,0.5483870967741935,holdout,2021-06-30
2022-11,30,436732.10839317087,-37441.16872515129,0.5,holdout,2021-06-30
2022-12,30,350028.5191609415,-278712.3688796551,0.7666666666666667,holdout,2021-06-30
